2014-07-23	1	Desktop	Mac OS X	1	AwznDwM=
2014-07-23	1	Windows Phone	Windows	1	AwyWBQE=
2014-07-23	1	Desktop	Linux	9	Awz+CgOBCQFHDAJeDQK1CAEhCgKmDQY=
2014-07-23	1	Desktop	Windows	1	AwwWDAE=
2014-07-24	1	Desktop	Windows	1	AwwWDAE=
2014-07-24	1	Windows Phone	Windows	1	AwzSAAE=
2014-07-24	1	Desktop	Mac OS X	1	AwxeCgI=
2014-07-24	1	Android Phone	Android	17	Awx5CwGtCQGwDgK4BgFACgF0BQFNAgFcCgF5BAGXBQE=
2014-07-24	1	Apple iPhone	iOS	201	AwwABAGlDwGaAgHICAPqCAdCCAh2BAGcBgJ4CAKZDQQnBAZKBQHMDAEqDQMHDQHPDwH8DgGpCwIgAQgoDwJYAQG4CQEZDQEPDwM2DgInBQIuAAIkBgE+DwFvDwLAAQGkAAE5CAGGAgF5AAK7DgFoBwPbCQF4CQJqCAGdCAFwDAP+DQF1AAOuAwG3AQFeCwOVAgFhDAH5AgHYCAPqAgGWBAPOCwG1AgJ5CwGtAQIvAwbfBwMYBgGPBQHHDAGBCQWwBwFJAQJgBwGXBgFHAgR5AwVTDgLIAQFtCAHLBAK3BgH0CwHXAQE6BAE0CwEyBwF9AgLYCwGmBQSfDgEaBAGBDATtAAIoDgIDDgOICQECBAFgCANlCAIgAAGhAAHQDgGxAgQoAQFIAgIpBwXnCgGoDAHKBAI2AAITAwG6CwEbDQJeDgLZCQU9BwO1CALWCgHGCAHyCgX6CwKECAFaAwFvAQFBCgPcCgLiDASZBAGGBwJXDAFBCQErAQGXCwFOBAOoCwTZAQLXCwGMBQE+CwPRCQNJDwHJBAF4BQG6AwPKDgJwCAG7CgKuDAGxAAHNAgLZDgElBQGDDgF1BAE0DAF6CQGmBgI1CQGjBwKoCgFMCwH3CgMUDAOICgMSDQIBCQInBgJUBAE2BgNuBgIuBQKAAwJSCAFmDQI4DwH7AgK2CALWAAIfAQOuDwNrCALHAwFzBQEzAANZBgICCALTDwdmAQEKDwLaAQGYAgEbAQG1CQIXCgFODwI9DwKSDQWRBgG+CAL0DAEtBAE=
2014-07-24	2	Desktop	Chrome OS	11	AwyiCAF3BgJdCAHgDgEPAwHZBwI=
